,words,tf
336,lassnata,False
337,awanhale,False
338,talk,True
339,dewi,False
340,kadila,False
341,hamawelema,False
342,tiyanawaa,False
343,pathami,False
344,warga,False
345,rolles,False
346,suwadata,False
347,dogsla,False
348,bimmal,False
349,soon,True
350,path,True
351,delish,False
352,wennathi,False
353,bless,True
354,hamathanma,False
355,kadima,False
356,lamayintath,False
357,ton,True
358,kata,False
359,lassanama,False
360,sonic,True
361,salad,True
362,macaroni,True
363,karunika,False
364,ajinomoto,False
365,wenne,False
366,the,True
367,tyenawa,False
368,colambo,False
369,issan,False
370,mudalak,False
371,mathpen,False
372,galapenama,False
373,welith,False
374,flavours,False
375,owa,False
376,sathuta,False
377,sounds,True
378,ekakwath,False
379,milak,False
380,apahasui,False
381,1500,True
382,butter,True
383,comfortable,True
384,atificial,False
385,piliganima,False
386,kamanam,False
387,restaurant,True
388,maha,False
389,widuli,False
390,sadimedi,False
391,hi,True
392,mattamaka,False
393,awoth,False
394,dawas,False
395,another,True
396,wall,True
397,dalawath,False
398,weddings,True
399,ekta,False
400,ratata,False
401,safe,True
402,club,True
403,sadharanai,False
404,'0',False
405,bawitha,False
406,hondha,False
407,baaldiyak,False
408,madi,False
409,mokkda,False
410,oka,False
411,jayamavewa,False
412,fish,True
413,café,False
414,school,True
415,yaluwe,False
416,vegitarian,False
417,skin,True
418,karyamandalaya,False
419,beach,True
420,paribogikaya,False
421,gannewath,False
422,marama,False
423,hygiene,True
424,kannam,False
425,Lankawe,False
426,imbul,False
427,experience,True
428,british,False
429,walliyakadi,False
430,kohedha,False
431,thibua,False
432,level,True
433,650,True
434,sadde,False
435,specifically,True
436,m,True
437,packing,True
438,hakuru,False
439,idalahitala,False
440,api,False
441,eelanga,False
442,properly,True
443,addicted,True
444,labenawa,False
445,weradi,False
446,recommond,False
447,care,True
448,korean,False
449,ammarui,False
450,awashyatha,False
451,vegi,False
452,oyaanam,False
453,ceylon,False
454,watila,False
455,thaththa,False
456,kiyalamai,False
457,thoraganna,False
458,wei,False
459,naa,False
460,sewakayange,False
461,thiyanava,False
462,ayye,False
463,hodama,False
464,leaf,True
465,prathichara,False
466,adagena,False
467,own,True
468,karal,False
469,karanne,False
470,gannawa,False
471,hadapu,False
472,try,True
473,monaada,False
474,dhennek,False
475,vadak,False
476,podi,False
477,karadhi,False
478,using,True
479,enjo,False
480,malli,False
481,wadipura,False
482,girlsla,False
483,Indiyawata,False
484,ekadi,False
485,aniwaarenma,False
486,again,True
487,awulakma,False
488,wagai,False
489,thenakuth,False
490,Thawa,False
491,naraka,False
492,එකට,False
493,deke,False
494,thaamath,False
495,customerslatat,False
496,giyata,False
497,gyata,False
498,naaa,False
499,harbour,False
500,rs,True
501,siduwenawa,False
502,ebili,False
503,jaffana,False
504,nidahas,False
505,lankiya,False
506,kalaya,False
507,onama,False
508,awul,False
509,chitchat,True
510,ooo,False
511,panthiye,False
512,ko,False
513,mehemath,False
514,patte,False
515,yannama,False
516,yanwa,False
517,struggled,True
518,kaarya,False
519,welawata,False
520,naalaa,False
521,gampolin,False
522,kannakota,False
523,campus,True
524,ekanam,False
525,DJ,True
526,theruna,False
527,hdapu,False
528,rasa,False
529,accept,True
530,ekk,False
531,murali,False
532,kiyalai,False
533,mura,False
534,thosai,False
535,badapirennama,False
536,vithara,False
537,biwwama,False
538,helpful,True
539,kattiyak,False
540,wheelchair,True
541,dennekta,False
542,lmai,False
543,dawasata,False
544,gamaka,False
545,hoya,False
546,delicious,True
547,vidiyata,False
548,unsatisfied,True
549,sevvice,False
550,soft,True
551,bite,True
552,20,True
553,kihipayakma,False
554,palayan,False
555,wdi,False
556,bowl,True
557,ne,False
558,maara,False
559,nathuva,False
560,nihathamani,False
561,id,True
562,ammapa,False
563,naha,False
564,hmm,True
565,nathara,False
566,focus,True
567,pirila,False
568,qualuty,False
569,thanek,False
570,dates,True
571,forignerslata,False
572,biriyani,False
573,ethanata,False
574,10ka,False
575,wewa,False
576,apurui,False
577,da,False
578,tasty,True
579,traffic,True
580,chicken,True
581,crowed,True
582,bawaya,False
583,narakam,False
584,ammala,False
585,paarak,False
586,yana,False
587,cheffge,False
588,tyagena,False
589,putha,False
590,seethala,False
591,diet,True
592,wallet,True
593,hodata,False
594,okkotama,False
595,bread,True
596,unuwena,False
597,24/7,False
598,idiriye,False
599,request,True
600,budget,True
601,hatimane,False
602,western,True
603,flavour,False
604,doni,False
605,pitzzahut,False
606,50%,False
607,wahalak,False
608,improvements,True
609,fruit,True
610,penawa,False
611,piece,True
612,course,True
613,methanatyenne,False
614,withrak,False
615,panayata,False
616,hithenawa,False
617,kathawen,False
618,adumak,False
619,pahath,False
620,non-veg,True
621,parata,False
622,hithalawath,False
623,ow,True
624,hoppers,True
625,wenasma,False
626,gayana,False
627,50,True
628,harak,False
629,wennepa,False
630,uuu,False
631,karamuda,False
632,kiyawa,False
633,slow,True
634,eyala,False
635,gedarakata,False
636,paribogikayo,False
637,ayath,False
638,non,True
639,pirisidukama,False
640,rolls,True
641,colmba,False
642,roll,True
643,ja,False
644,labuna,False
645,dinapathama,False
646,tiyanna,False
647,hamadem,False
648,kena,False
649,kamathima,False
650,sound,True
651,awuruddak,False
652,couples,True
653,kalpana,False
654,hang,True
655,wait,True
656,lankaave,False
657,meyala,False
658,maduruwangen,False
659,youtube,False
660,pitzza,False
661,sodanawa,False
662,week,True
663,athukorale,False
664,daruwata,False
665,bonne,False
666,gaman,False
667,performance,True
668,order,True
669,awith,False
670,thorala,False
671,karata,False
672,kiyawima,False
673,welawak,False
674,199,True
675,genavath,False
676,ehemane,False
677,ekakt,False
678,nathima,False
679,yatapath,False
680,deepan,False
681,ehenam,False
682,lava,True
683,30-40,True
684,pirisuduwata,False
685,chair,True
686,mohothak,False
687,nuth,False
688,quantity,True
689,wenakota,False
690,thibuna👌,False
691,hungak,False
692,8000k,False
693,guliyak,False
694,bathroom,True
695,dhenatama,False
696,beverages,True
697,sink,True
698,second,True
699,pathhu,False
700,ganan,False
701,witarai,False
702,pineapple,True
703,sudusu,False
704,gunathmaya,False
705,kottu,False
706,busy,True
707,dakkahama,False
708,buriyane,False
709,mrthana,False
710,serve,True
711,p,True
712,nirmanathmakawa,False
713,watinava,False
714,mana,False
715,samanyai,False
716,accomadation,False
717,had),False
718,shell,True
719,vadakma,False
720,ree,False
721,thena,False
722,ganimak,False
723,staffs,True
724,panina,False
725,pihitai,False
726,malliya,False
727,athiwenakam,False
728,sathutudayaka,False
729,wahan,False
730,arakshakari,False
731,welila,False
732,3k,False
733,kathaawa,False
734,kadinam,False
735,jaffa,False
736,milath,False
737,laughing,True
738,weerayata,False
739,awata,False
740,basarayata,False
741,ennama,False
742,ekaka,False
743,hodat,False
744,mesen,False
745,hitiye,False
746,ballada,False
747,additive,True
748,pathhukale,False
749,putu,False
750,nagala,False
751,dhenava,False
752,egg,True
753,cuisine,True
754,aduwen,False
755,naweena,False
756,therenne,False
757,found,True
758,srilakan,False
759,holidays,True
760,eka0,False
761,weddi,False
762,service,True
763,hoyagannath,False
764,rotviolet,False
765,eekanam,False
766,local,True
767,ita,False
768,apirisidui,False
769,sobadahame,False
770,wachana,False
771,bedaaganna,False
772,online,True
773,milakata,False
774,ponnaya,False
775,billpatha,False
776,tiyenwa,False
777,kargana,False
778,agodak,False
779,hitha,False
780,quick,True
781,apith,False
782,thorganna,False
783,awanhalak,False
784,cook,True
785,lassanai,False
786,wayasai,False
787,samasthayal,False
788,rasai,False
789,sathutin,False
790,meals,True
791,version,True
792,dakinnath,False
793,melo,False
794,pola,False
795,waddek,False
796,tastless,False
797,wadhayak,False
798,yaluwo,False
799,pigan,False
800,sapekshawa,False
801,nirmansha,False
802,milk,True
803,minisa,False
804,entrance,True
805,apita,False
806,balalama,False
807,comment,True
808,ehema,False
809,lagadi,False
810,ninda,False
811,eliya,False
812,special,True
813,obath,False
814,ekathu,False
815,kalabala,False
816,sthana,False
817,ethakota,False
818,ee,False
819,natural,True
820,30,True
821,sundarai,False
822,prepare,True
823,puduma,False
824,kiyamuda,False
825,paulatama,False
826,yhenak,False
827,thhenak,False
828,mahale,False
829,adikaa,False
830,witharak,False
831,nethinam,False
832,niyameta,False
833,awatin,False
834,nagaraye,False
835,aarakshaawa,False
836,80,True
837,all,True
838,lassanata,False
839,dewala,False
840,tiyenne,False
841,dena,False
842,hadenne,False
843,pin,True
844,praweena,False
845,What,True
846,kellawa,False
847,hariyana,False
848,karaneka,False
849,parcking,False
850,ekama,False
851,sourse,False
852,yam,True
853,sinduwak,False
854,nm,False
855,oily,True
856,baverages,False
857,nuwara,False
858,customize,True
859,covid,False
860,sallith,False
861,namai,False
862,memai,False
863,roty,False
864,rasaunata,False
865,boho,False
866,gahuwata,False
867,crabsla,False
868,actually,True
869,amatharawa,False
870,dhukwidhinawada,False
871,cleaness,False
872,unaanam,False
873,ungema,False
874,😊,False
875,flexible,True
876,pahakata,False
877,china,True
878,priceeka,False
879,recommended,True
880,250k,False
881,anawuma,False
882,obata,False
883,cute,True
884,kattiya,False
885,ithing,False
886,karanwa,False
887,gahanne,False
888,bath,True
889,kenwamda,False
890,ledi,False
891,eken,False
892,large,True
893,adaraya,False
894,select,True
895,kemak,False
896,welak,False
897,gathakaranna,False
898,ahana,False
899,hamadeyakma,False
900,ralui,False
901,pramithiyen,False
902,kenekwath,False
903,ammo,True
904,warranty,True
905,ewelawema,False
906,soyala,False
907,eliyen,False
908,disappointed,True
909,30ta,False
910,practices,True
911,bamboo,True
912,hina,False
913,awsome,False
914,calm,True
915,thosa,False
916,manussayage,False
917,hinda,False
918,wisheshathwayak,False
919,methata,False
920,bana,False
921,nan,False
922,beers,True
923,parakku,False
924,welawaka,False
925,edunaa,False
926,oyama,False
927,tyenne,False
928,hamogema,False
929,gahak,False
930,yanakam,False
931,full,True
932,beheththuth,False
933,moko,False
934,anuwen,False
935,supiriyak,False
936,dolphin,True
937,adarei,False
938,seafood,True
939,wisthara,False
940,branded,True
941,ugath,False
942,welwata,False
943,marvellous,False
944,light,True
945,machine,True
946,VIP,True
947,sarayakwath,False
948,aniwaren,False
949,delisious,False
950,nahane,False
951,na,False
952,therennena,False
953,karannama,False
954,thibune,False
955,ready,True
956,window,True
957,goshakari,False
958,than,True
959,desserts,True
960,tv,False
961,wadanaya,False
962,visited,True
963,dirgausha,False
964,hamaeyakma,False
965,90,True
966,aasawen,False
967,shape,True
968,bake,True
969,widiyata,False
970,loud,True
971,kenekuta,False
972,hodak,False
973,bachgoround,False
974,kirisamba,False
975,working,True
976,pramithiyakata,False
977,aya,False
978,gatha,False
979,hamadamath,False
980,dish,True
981,dura,False
982,going,True
983,wadek,False
984,wifi,False
985,chilli,False
986,cash,True
987,enwa,False
988,thaniyama,False
989,weekday,True
990,aayata,False
991,upahaara,False
992,b,True
993,too,True
994,ekalaga,False
995,sorry,True
996,Lunch,True
997,wennama,False
998,brains,True
999,minihekta,False
1000,kenekt,False
1001,nidaganna,False
1002,kawuruwath,False
1003,gahannth,False
1004,tasteless,True
1005,play,True
1006,00,True
1007,kesel,False
1008,unbelievable,True
1009,700k,False
1010,uda,False
1011,sewayk,False
1012,orange,True
1013,udau,False
1014,gananaka,False
1015,affordable,True
1016,rasata,False
1017,salty,True
1018,first,True
1019,recommend,True
